slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
chicago,Chicago,United States,global,,41.878,-87.63,,2664452,North America,,,88.5,24.6,67.7,483.3,169,38.6,2.49,0.748,0.822,0.99,135.0,72.2,0.584,0.065,405.1,6139,
manhattan,Manhattan (New York),United States,global,,40.758,-73.985,,8804190,North America,,,29.5,19.4,46.3,433.0,129,114.6,2.804,0.584,0.876,0.994,81.0,70.3,0.755,0.034,384.3,6209,
philadelphia,Philadelphia,United States,global,,39.952,-75.165,,1573916,North America,,,9.5,14.6,49.5,541.6,189,69.3,2.739,0.621,0.839,0.993,143.0,138.6,0.48,0.032,548.7,6256,
washington-dc,"Washington, D.C.",United States,global,,38.905,-77.036,,689545,North America,,,0.5,41.1,96.2,644.8,307,18.5,3.227,0.298,0.662,0.986,85.0,84.6,0.448,0.044,397.1,7205,
savannah,Savannah,United States,global,,32.076,-81.093,,147780,North America,,,17.5,22.9,38.5,552.6,210,128.6,2.568,0.711,0.792,0.963,104.0,68.4,0.437,0.063,296.7,2219,
salt-lake-city,Salt Lake City,United States,global,,40.763,-111.888,,215548,North America,,,89.5,30.5,67.1,458.6,144,13.2,2.653,0.668,0.884,0.99,119.0,67.3,0.436,0.114,363.1,4534,
portland,Portland,United States,global,,45.52,-122.676,,652503,North America,,,0.5,36.8,98.4,647.2,312,37.8,3.101,0.391,0.607,0.972,79.0,104.1,0.53,0.085,485.6,6646,
phoenix,Phoenix,United States,global,,33.451,-112.073,,1650070,North America,,,0.5,32.7,48.4,397.6,110,20.3,2.531,0.729,0.938,0.993,200.0,59.2,0.456,0.063,353.9,3728,
houston,Houston,United States,global,,29.758,-95.365,,2314157,North America,,,89.5,59.6,161.1,716.8,400,70.3,3.084,0.403,0.323,0.99,78.0,92.7,0.529,0.07,493.5,5693,
boston,Boston,United States,global,,42.357,-71.059,,653833,North America,,,88.5,87.6,255.7,755.3,440,91.7,3.54,0.039,0.156,0.976,250.0,97.2,0.34,0.118,442.5,6911,
san-francisco,San Francisco,United States,global,,37.78,-122.417,,827526,North America,,,80.5,36.1,104.2,596.0,276,87.9,2.594,0.698,0.706,0.993,104.0,104.5,0.608,0.077,492.8,7154,
los-angeles,Los Angeles,United States,global,,34.048,-118.251,,3820914,North America,,,28.5,66.8,172.9,705.9,378,127.8,3.263,0.271,0.549,0.989,200.0,64.6,0.393,0.078,407.7,6761,
toronto,Toronto,Canada,global,,43.653,-79.383,,2794356,North America,,,73.5,28.7,66.9,498.6,185,130.4,2.472,0.756,0.81,0.987,106.0,63.9,0.435,0.081,337.9,4534,
mexico-city,Mexico City,Mexico,global,,19.433,-99.14,,12294193,North America,,,7.5,53.3,131.9,655.3,315,80.8,3.174,0.338,0.75,0.992,102.0,116.6,0.527,0.052,498.0,6713,
